UserId,Location,Age
4173,"stockton, california, usa",18.0
26211,"timmins, ontario, canada",
74836,"germantown, tennessee, usa",
40801,"albacete, wisconsin, spain",26.0
41937,"fort bragg, california, usa",
1528,"mediapolis, iowa, usa",
37324,"albuquerque, new mexico, usa",
48717,"chesapeake, virginia, usa",
45709,"weston, ,",14.0
17741,"langhorne, pennsylvania, usa",19.0
20876,"erfurt, thueringen, germany",
12172,"philadelphia, pennsylvania, usa",
49222,"bellevue, washington, usa",
20187,"portland, oregon, usa",
11667,"montreal, quebec, canada",24.0
38362,"cary, north carolina, usa",
88060,"appleton, wisconsin, usa",17.0
79904,"black mountain, north carolina, usa",51.0
63276,"renton, washington, usa",34.0
19156,"tacoma, washington, usa",
17459,"cheyenne, wyoming, usa",24.0
57788,"lyon, rhone, france",32.0
58457,"framingham, massachusetts, usa",43.0
28440,"montreal, quebec, canada",
3350,"vancouver, british columbia, canada",
14638,"rochester, new york, usa",44.0
53559,"wentzville, missouri, usa",
17677,"long beach, california, usa",37.0
23500,"vancouver, british columbia, canada",
67987,"oakland, california, usa",18.0
40861,"ottawa, ontario, canada",20.0
9110,"santa cruz, california, usa",
73388,"del mar, california, usa",
26825,"eugene, oregon, usa",
74799,"london, england, united kingdom",41.0
40559,"los angeles, california, usa",
67321,"richardson, texas, usa",
36157,"fayetteville, georgia, usa",
84889,"toronto/newmarket, ,",
6049,"castellar del valles, barcelona, spain",20.0
53520,"grand island, new york, usa",
46594,"mechanicsburg, pennsylvania, usa",
63567,"franktown, colorado, usa",42.0
87599,"barcelona, n/a, spain",
47125,"lethbridge, alberta, canada",
47397,"muncie, indiana, usa",20.0
34786,"peoira, illinois, usa",
56897,"ligonier, pennsylvania, usa",57.0
78669,"lansing, michigan, usa",49.0
81888,"bloomington, minnesota, usa",47.0
40638,"silver spring, maryland, usa",38.0
56644,"jacksonville, florida, usa",45.0
2622,"berkshire, new york, usa",
46857,"baltimore, maryland, usa",35.0
3942,"darien, new york, usa",
64485,"cape girardeau, missouri, usa",62.0
35235,"darwin, northern territory, australia",
925,"almada, n/a, portugal",20.0
79686,"newark, delaware, usa",
62162,"olympia, washington, usa",62.0
30113,"arlington, virginia, usa",
152,"london, london, united kingdom",34.0
68893,"rexford, new york, usa",28.0
68880,"porto, porto, portugal",27.0
53300,"baton rouge, louisiana, usa",17.0
44835,"wezembeek-oppem, brussels, belgium",33.0
15281,"mumbai, maharashtra, india",23.0
31652,"austin, texas, usa",38.0
35342,"ottawa, ontario, canada",28.0
63162,"turner, oregon, usa",15.0
79299,"west bend, wisconsin, usa",
91761,"manila, n/a, philippines",21.0
760,"port alberni, british columbia, canada",20.0
74937,"spencer, massachusetts, usa",
88345,"strafford, missouri, usa",
26623,"new york, new york, usa",
56798,"ann arbor, michigan, usa",41.0
18582,"ny, new york, usa",
91644,"mumbai, maharashtra, india",16.0
61068,"s. pasadena, california, usa",
70589,"plymouth, minnesota, usa",27.0
62988,"auburn, alabama, usa",
25518,"neuffen, baden-wuerttemberg, germany",37.0
42229,"arden hills, minnesota, usa",
32415,"college station, texas, usa",
68287,"zografou, athens, greece",23.0
80962,"minneapolis, minnesota, usa",25.0
51725,"minneapolis, minnesota, usa",24.0
80317,"boston, massachusetts, usa",
59728,"quit, quit, quit",
42169,"walla walla, washington, usa",20.0
26581,"snohomish, washington, usa",
71736,"chicago, illinois, usa",21.0
34956,"yakima, washington, usa",
46660,"tampa, florida, usa",15.0
76882,"ft. collins, colorado, usa",
45146,"newport news, virginia, usa",
52470,"capitola, california, usa",53.0
9017,"boston, massachusetts, usa",
47543,"barcelona, n/a, spain",26.0
9265,"ridderkerk, n/a, netherlands",34.0
16520,"rutherford, new jersey, usa",
10492,"seattle, washington, usa",23.0
5295,"parkville, missouri, usa",
18288,"dallas, texas, usa",
29959,"lake oswego, oregon, usa",59.0
35170,"jyväskylä, n/a, finland",27.0
77883,"málaga, n/a, spain",17.0
1600,"minneapolis, minnesota, usa",
25047,"tampere, pirkanmaa, finland",20.0
14183,"mesa, arizona, usa",
48968,"columbia, tennessee, usa",27.0
43757,"leesburg, virginia, usa",
2218,"premià de dalt, barcelona, spain",25.0
10862,"thunder bay, ontario, canada",63.0
77687,"culver city, california, usa",45.0
67626,"bamberg, bayern, germany",22.0
79638,"fishers, indiana, usa",35.0
2334,"carmichael, california, usa",
90890,"bucuresti, n/a, romania",23.0
50802,"charity, missouri, usa",17.0
32741,"nashville, tennessee, usa",35.0
64926,"barcelona, catalunya, spain",44.0
61989,"brighton, east sussex, united kingdom",24.0
18269,"st. louis, missouri, usa",
61382,"madrid, madrid, spain",37.0
43327,"mountain view, california, usa",17.0
42712,"naperville, illinois, usa",17.0
69348,"edmonton, alberta, canada",23.0
5143,"portland, oregon, usa",29.0
23624,"silver spring, maryland, usa",
21015,"ridgway, pennsylvania, usa",40.0
45413,"kansas city, missouri, usa",
25550,"smock, pennsylvania, usa",48.0
984,"naples, florida, usa",
30013,"tiburon, california, usa",
10205,"brookfield, wisconsin, usa",16.0
78782,"spokane, washington, usa",
33396,"sweet home, oregon, usa",40.0
52664,"chevy chase, dc, usa",
28114,"medford, new jersey, usa",
55733,"charleston, west virginia, usa",
68475,"roma, italy, italy",
29864,"rouse hill, new south wales, australia",20.0
60518,"corona, california, usa",18.0
73526,"livingston, new jersey, usa",
65549,"vancouver, british columbia, canada",34.0
15688,"rome, new york, usa",
20692,"iowa city, iowa, usa",
62443,"shelton, washington, usa",72.0
56889,"portland, oregon, usa",31.0
8634,"houston, texas, usa",
3743,"cape girardeau, missouri, usa",
82408,"manhattan, kansas, usa",29.0
19115,"parry sound, ontario, canada",
65743,"west salem, wisconsin, usa",51.0
6986,"la verne, california, usa",62.0
55174,"san antonio, texas, usa",17.0
9723,"richmond, virginia, usa",
33929,"el centro, california, usa",40.0
75763,"washington, dc, usa",51.0
56918,"dumas, arkansas, usa",
53193,"portland, oregon, usa",29.0
67719,"winter springs, florida, usa",58.0
11151,"savannah, georgia, usa",
61187,"seattle, washington, usa",
40286,"bozeman, montana, usa",19.0
45722,"moab, utah, usa",47.0
40949,"davis, california,",
8293,"perryville, missouri, usa",26.0
17324,"fort worth, texas, usa",
54619,"presque isle, maine, usa",
59409,"burnaby, ,",
28162,"pulaski, virginia, usa",
29965,"franklin, tennessee, usa",48.0
20020,"springfield, illinois, usa",
49045,"spokane, washington, usa",
77556,"lahore, punjab, pakistan",28.0
30901,"milano, lombardia, italy",
53806,"boston, massachusetts, usa",
67062,"hollywood, florida, usa",17.0
8478,"san francisco, california, usa",49.0
43762,"forest grove, oregon, usa",23.0
57019,"providence, rhode island, usa",
60722,"long beach, mississippi, usa",
43891,"toronto, ontario, canada",45.0
16792,"marseille, provence, france",41.0
2282,"graz, steiermark, austria",41.0
2561,"berlin, berlin, germany",
30686,"san diego, california, usa",20.0
54321,"washington dc, virginia, usa",
32100,"scotch village, nova scotia, canada",
10885,"portland, oregon, usa",
44581,"grenoble, rhone-alpes, france",23.0
70471,"ottawa, ontario, canada",
90910,"san diego, california, usa",
22668,"santa cruz, california, usa",
65597,"interlachen, florida, usa",26.0
66929,"chattanooga, tennessee, usa",
25394,"ny, new york, usa",
80384,"baton rouge, louisiana, usa",27.0
12522,"union, illinois, usa",28.0
66286,"stevens point, wisconsin, usa",21.0
84114,"alphen aan den rijn, zuid holland, netherlands",
3413,"palo alto, california, usa",
4988,"mountain view, california, usa",31.0
59662,"asti, piemonte, italy",
68383,"san antonio, texas, usa",
90244,"duluth, minnesota, usa",
42742,"roanoke, virginia, usa",14.0
65570,"oxford, england, united kingdom",27.0
83518,"pratteln, baselland, switzerland",29.0
28852,"abingdon, n/a, united kingdom",49.0
86673,"austin, texas, usa",
55378,"spring hill, florida, usa",
10645,"washington dc, dc, usa",16.0
88254,"jamestown, california, usa",
5663,"eatontown, new jersey, usa",31.0
29496,"welsh, louisiana, usa",
9203,"albuquerque, new mexico,",69.0
41988,"cortland, new york, usa",29.0
44954,"trebur, hessen, germany",34.0
61140,"albuquerque, new mexico, usa",
5453,"oakdale, minnesota, usa",55.0
89959,"novinger, missouri, usa",16.0
6853,"moraga, california, usa",
17991,"ocala, florida, usa",48.0
54877,"longmont, colorado, usa",36.0
25848,"stockton, california, usa",
26557,"scranton, pennsylvania, usa",
53135,"philadelphia, pennsylvania, usa",29.0
11894,"duesseldorf, n/a, germany",
8180,"primm springs, tennessee, usa",
32792,"oakland, california, usa",
70252,"york, pennsylvania, usa",
86812,"omaha, nebr,",43.0
3630,"birmingham, alabama, usa",
52838,"ft. sill, oklahoma, usa",38.0
35275,"wentzville, missouri, usa",16.0
60740,"auckland, n/a, new zealand",23.0
42131,"portland, ,",13.0
38098,"bradenton, florida, usa",
68807,"woodland hills, california, usa",
32461,"hallandale, florida, usa",57.0
45562,"burbank, california, usa",
10597,"panhandle, texas, usa",48.0
78318,"chilliwack, british columbia, canada",
1113,"sunnyvale, california, usa",
61653,"edinburg, texas, usa",
48092,"sonoma, california, usa",34.0
66746,"commack, new york, usa",36.0
85763,"zurich, n/a, switzerland",34.0
53365,"selangor, southeast asia, malaysia",
28523,"deer park, new york, usa",
58013,"albuquerque, new mexico, usa",15.0
15898,"mason city, iowa, usa",
80,"albuquerque, new mexico, usa",35.0
89596,"rockville, maryland, usa",17.0
34636,"collegno, piemonte, italy",35.0
55019,"deer lodge, tennessee, usa",25.0
58536,"bremen, bremen, germany",22.0
82994,"chesterfield, michigan, usa",24.0
58539,"san francisco, california, usa",
49793,"hanover, massachusetts, usa",33.0
11967,"douglasville, georgia, usa",
46710,"berkeley, california, usa",23.0
80569,"brookfield, connecticut, usa",43.0
90567,"jacksonville, texas, usa",
40511,"bozeman, montana, usa",
24027,"castaic, california, usa",30.0
78927,"geelong, victoria, australia",40.0
3267,"-, wales, united kingdom",27.0
1964,"bielefeld, nordrhein-westfalen, germany",23.0
64497,"scranton, pennsylvania, usa",25.0
15139,"worcester, worcestershire, united kingdom",21.0
63418,"overland, missouri, usa",18.0
